,node_index
ENSG00000053747,2997
ENSG00000056972,2998
ENSG00000057252,2999
ENSG00000062822,3000
ENSG00000067182,3001
ENSG00000067191,3002
ENSG00000067606,3003
ENSG00000069535,3004
ENSG00000074319,3005
ENSG00000080815,3006
ENSG00000082482,3007
ENSG00000101180,3008
ENSG00000101470,3009
ENSG00000101868,3010
ENSG00000105605,3011
ENSG00000105639,3012
ENSG00000110330,3013
ENSG00000111275,3014
ENSG00000112759,3015
ENSG00000112964,3016
ENSG00000113580,3017
ENSG00000115414,3018
ENSG00000117480,3019
ENSG00000120217,3020
ENSG00000121807,3021
ENSG00000125498,3022
ENSG00000125508,3023
ENSG00000128602,3024
ENSG00000130414,3025
ENSG00000131398,3026
ENSG00000132437,3027
ENSG00000132639,3028
ENSG00000132840,3029
ENSG00000132965,3030
ENSG00000133019,3031
ENSG00000134013,3032
ENSG00000134352,3033
ENSG00000136546,3034
ENSG00000138039,3035
ENSG00000139180,3036
ENSG00000141506,3037
ENSG00000143105,3038
ENSG00000146904,3039
ENSG00000149294,3040
ENSG00000149403,3041
ENSG00000151366,3042
ENSG00000157219,3043
ENSG00000159640,3044
ENSG00000160870,3045
ENSG00000162733,3046
ENSG00000163251,3047
ENSG00000165029,3048
ENSG00000166851,3049
ENSG00000169245,3050
ENSG00000169252,3051
ENSG00000169427,3052
ENSG00000169676,3053
ENSG00000170175,3054
ENSG00000171303,3055
ENSG00000171759,3056
ENSG00000174886,3057
ENSG00000176014,3058
ENSG00000177301,3059
ENSG00000179546,3060
ENSG00000186803,3061
ENSG00000196839,3062
ENSG00000196878,3063
ENSG00000197901,3064
ENSG00000198056,3065
ENSG00000198400,3066
ENSG00000211699,3067
ENSG00000228083,3068
ENSG00000243646,3069
ENSG00000256713,3070
ENSG00000262406,3071
ENSG00000000938,3072
ENSG00000005961,3073
ENSG00000014138,3074
ENSG00000050628,3075
ENSG00000050748,3076
ENSG00000058091,3077
ENSG00000059377,3078
ENSG00000066230,3079
ENSG00000072062,3080
ENSG00000074966,3081
ENSG00000087237,3082
ENSG00000088926,3083
ENSG00000099250,3084
ENSG00000100902,3085
ENSG00000105695,3086
ENSG00000105835,3087
ENSG00000107165,3088
ENSG00000108443,3089
ENSG00000114013,3090
ENSG00000116396,3091
ENSG00000117266,3092
ENSG00000118194,3093
ENSG00000124134,3094
ENSG00000130669,3095
ENSG00000131187,3096
ENSG00000131620,3097
ENSG00000136160,3098
ENSG00000137080,3099
ENSG00000137948,3100
ENSG00000138379,3101
ENSG00000138792,3102
ENSG00000140015,3103
ENSG00000142166,3104
ENSG00000142192,3105
ENSG00000149305,3106
ENSG00000151623,3107
ENSG00000156486,3108
ENSG00000159352,3109
ENSG00000160013,3110
ENSG00000160932,3111
ENSG00000162009,3112
ENSG00000162891,3113
ENSG00000163517,3114
ENSG00000165995,3115
ENSG00000166825,3116
ENSG00000168748,3117
ENSG00000169432,3118
ENSG00000169860,3119
ENSG00000172037,3120
ENSG00000172156,3121
ENSG00000172819,3122
ENSG00000176393,3123
ENSG00000177628,3124
ENSG00000178467,3125
ENSG00000178568,3126
ENSG00000181072,3127
ENSG00000183134,3128
ENSG00000184304,3129
ENSG00000184428,3130
ENSG00000184752,3131
ENSG00000184845,3132
ENSG00000185231,3133
ENSG00000185436,3134
ENSG00000185760,3135
ENSG00000186350,3136
ENSG00000188389,3137
ENSG00000196639,3138
