drug_id,disease_id,drug_idx,disease_idx
CHEMBL24924,HP_0004419,978,4859
CHEMBL37390,HP_0006536,981,6113
CHEMBL388590,EFO_0004274,982,8202
CHEMBL408403,EFO_0006834,983,8478
CHEMBL799,HP_0004419,985,4859
CHEMBL1201534,HP_0004419,990,4859
CHEMBL1370,HP_0001742,992,5455
CHEMBL1370,HP_0006536,992,6113
CHEMBL1370,EFO_0003956,992,8145
CHEMBL1370,EFO_0006505,992,8441
CHEMBL1534,EFO_0001070,995,5191
CHEMBL1534,HP_0001891,995,6462
CHEMBL1734,HP_0000103,997,5868
CHEMBL1734,EFO_1000781,997,8862
CHEMBL2103737,EFO_0003894,998,7494
CHEMBL3187723,EFO_0002617,1002,5382
CHEMBL106,EFO_0007228,1006,8057
CHEMBL1201134,EFO_0000555,1009,5874
CHEMBL125,EFO_0005045,1013,6831
CHEMBL125,EFO_0007379,1013,8412
CHEMBL220491,EFO_1001069,1018,9043
CHEMBL3544921,Orphanet_228349,1021,9913
CHEMBL4298187,HP_0001891,1022,6462
CHEMBL4594252,EFO_0003894,1024,7494
CHEMBL535,Orphanet_44890,1025,10836
CHEMBL569,EFO_0009552,1026,6804
CHEMBL94394,HP_0002829,1028,6156
CHEMBL1201213,HP_0006536,1030,6113
CHEMBL1201560,EFO_0004220,1032,8253
CHEMBL23,EFO_0009552,1038,6804
CHEMBL23,EFO_0003913,1038,9586
CHEMBL4,EFO_1001888,1041,6901
CHEMBL633,HP_0004308,1044,4519
CHEMBL86,EFO_0004888,1045,7986
CHEMBL1201187,EFO_0000180,1046,6410
CHEMBL1201688,EFO_1001888,1048,6901
CHEMBL1219,EFO_0007549,1049,7781
CHEMBL1219,EFO_0004607,1049,8695
CHEMBL1621597,HP_0001742,1052,5455
CHEMBL1621597,HP_0006536,1052,6113
CHEMBL1621597,EFO_0006505,1052,8441
