id,name,drugType,blackBoxWarning,yearOfFirstApproval,parentId,childChemblIds,linkedDiseases.rows,hasBeenWithdrawn,linkedTargets.rows
CHEMBL2205807,ABAMETAPIR,Small molecule,False,2020.0,,,,False,
CHEMBL222813,ZANAMIVIR,Small molecule,False,1999.0,,['CHEMBL3330707' 'CHEMBL57705' 'CHEMBL1673195'],,False,
CHEMBL3989949,CENOBAMATE,Small molecule,False,2020.0,,,['EFO_0000474' 'EFO_0004263' 'EFO_0001421' 'HP_0001250'],False,"['ENSG00000163288' 'ENSG00000136546' 'ENSG00000109158' 'ENSG00000145863'
 'ENSG00000011677' 'ENSG00000187730' 'ENSG00000151834' 'ENSG00000145864'
 'ENSG00000168356' 'ENSG00000166206' 'ENSG00000007314' 'ENSG00000196876'
 'ENSG00000022355' 'ENSG00000102287' 'ENSG00000185313' 'ENSG00000183873'
 'ENSG00000182256' 'ENSG00000144285' 'ENSG00000094755' 'ENSG00000268089'
 'ENSG00000169432' 'ENSG00000163285' 'ENSG00000113327' 'ENSG00000136531'
 'ENSG00000186297' 'ENSG00000153253']"
CHEMBL413,SIROLIMUS,Small molecule,True,1999.0,,,"['Orphanet_122' 'EFO_0000637' 'EFO_0007323' 'EFO_0000681' 'EFO_0000401'
 'Orphanet_1059' 'EFO_0005952' 'EFO_1000653' 'EFO_0000339' 'EFO_0002690'
 'MONDO_0008903' 'EFO_0003884' 'EFO_1000251' 'EFO_1000882' 'EFO_0000514'
 'EFO_0008517' 'EFO_0000760' 'Orphanet_379' 'EFO_0000198' 'MONDO_0013730'
 'EFO_0002618' 'MONDO_0005149' 'Orphanet_46724' 'Orphanet_2309'
 'EFO_1000811' 'MONDO_0007608' 'EFO_1000906' 'EFO_0000180' 'EFO_0002424'
 'Orphanet_636' 'EFO_1001968' 'EFO_1001946' 'EFO_1001496' 'EFO_0000384'
 'MONDO_0008315' 'MONDO_0002691' 'GO_0007568' 'MONDO_0009453'
 'EFO_0009259' 'Orphanet_2869' 'EFO_0000574' 'Orphanet_101997'
 'EFO_0001378' 'MONDO_0015564' 'EFO_0001062' 'EFO_0004610' 'EFO_0003086'
 'Orphanet_84' 'EFO_0000292' 'EFO_0001365' 'EFO_0002913' 'EFO_1001465'
 'MONDO_0007254' 'MONDO_0016236' 'EFO_1000637' 'EFO_0003966' 'EFO_0006888'
 'MONDO_0002050' 'MONDO_0002898' 'Orphanet_77260' 'EFO_0000196'
 'EFO_0000183' 'Orphanet_447' 'EFO_0000616' 'MONDO_0019457' 'EFO_0001645'
 'Orphanet_1063' 'EFO_0009661' 'EFO_0000403' 'EFO_0004198' 'EFO_0000222'
 'EFO_0003929' 'EFO_0004599' 'EFO_0000537' 'Orphanet_624' 'MONDO_0002603'
 'EFO_0000764' 'EFO_0006927' 'EFO_0000702' 'EFO_1001947' 'MONDO_0024880'
 'EFO_1001927' 'EFO_0000519' 'EFO_0004265' 'MONDO_0000873' 'EFO_0004683'
 'EFO_0001075' 'Orphanet_183660' 'EFO_0000571' 'EFO_1000657'
 'Orphanet_848' 'MONDO_0002177' 'EFO_0000540' 'EFO_0003829' 'EFO_0003913'
 'EFO_0000565' 'Orphanet_365' 'MONDO_0002280' 'HP_0001871' 'Orphanet_733'
 'EFO_0000544' 'EFO_0003870' 'EFO_0000182' 'MONDO_0018531' 'EFO_0000253'
 'MONDO_0019063' 'EFO_1000749' 'EFO_0008620' 'HP_0003124' 'EFO_0000220'
 'MONDO_0002108' 'EFO_0004224' 'EFO_0002508' 'EFO_1001466' 'EFO_0004236'
 'EFO_0004194' 'MONDO_0044881' 'EFO_1001119' 'EFO_0009708' 'MP_0001845'
 'EFO_1000986' 'MONDO_0100096' 'EFO_0000731' 'EFO_0001359' 'MONDO_0037255'
 'Orphanet_282' 'Orphanet_232' 'MONDO_0015686' 'EFO_1000475' 'EFO_1001469'
 'Orphanet_538' 'HP_0001915' 'EFO_0000708' 'EFO_1002048' 'MONDO_0001187'
 'MONDO_0001718' 'EFO_1001480' 'EFO_1000044' 'EFO_0006890'
 'Orphanet_309144' 'Orphanet_93460' 'EFO_0003047' 'EFO_0009321'
 'EFO_0000717' 'EFO_1000158' 'EFO_0003770' 'EFO_0003060' 'EFO_0000621'
 'Orphanet_3205' 'EFO_0000311' 'MONDO_0001705' 'HP_0001626' 'EFO_0000095'
 'EFO_0006475' 'EFO_0001421' 'EFO_0008583' 'EFO_0000691' 'MONDO_0021637']",False,['ENSG00000088832']
CHEMBL427216,GLICLAZIDE,Small molecule,False,,,,,False,
CHEMBL4297229,PRABOTULINUMTOXIN A,Unknown,True,2019.0,,,['EFO_0005422'],False,['ENSG00000132639']
CHEMBL4297536,PATISIRAN SODIUM,Oligonucleotide,False,2018.0,,,['Orphanet_85447'],False,['ENSG00000118271']
CHEMBL4594214,ZICONOTIDE,Protein,False,2004.0,,,,False,
CHEMBL508102,CARBIMAZOLE,Small molecule,False,,,,['EFO_0009190' 'HP_0000820'],False,['ENSG00000115705']
CHEMBL597,PHENTOLAMINE,Small molecule,False,1952.0,,['CHEMBL1204146' 'CHEMBL1200873'],"['MONDO_0001330' 'EFO_0000319' 'HP_0001943' 'HP_0011499' 'EFO_0001073'
 'MONDO_0008315']",False,"['ENSG00000274286' 'ENSG00000184160' 'ENSG00000171873' 'ENSG00000170214'
 'ENSG00000120907' 'ENSG00000150594']"
